team,player,is_overseas,role,matches,runs,balls_faced,fours,sixes,innings_batted,dismissals,ducks,low_score_le_5,score_25_plus,score_40_plus,score_60_plus,score_80_plus,score_100_plus,balls_bowled,runs_conceded,wickets,dot_balls,maidens,wides,no_balls,bowled_lbw_wickets,wickets_2_plus,wickets_3_plus,wickets_4_plus,wickets_5_plus,wickets_6_plus,catches,stumpings,runouts,two_catch_games
Punjab Kings,Vishal Nishad,False,batter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab Kings,Prabhsimran Singh,False,wicketkeeper,41,734,454,72,38,24,20,1,5,12,7,4,3,0,428,473,25,207,1,42,0,9,6,3,0,0,0,8,1,0,1
Punjab Kings,Priyansh Arya,False,batter,18,545,299,60,31,18,18,1,2,6,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Punjab Kings,Shreyas Iyer,False,batter,17,604,345,43,39,17,12,1,3,10,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1
Punjab Kings,Shashank Singh,False,batter,14,350,228,23,18,14,7,0,4,6,4,1,0,0,12,27,0,3,0,0,0,0,0,0,0,0,0,7,0,0,2
Punjab Kings,Nehal Wadhera,False,batter,15,369,253,28,21,15,12,0,3,6,4,2,0,0,5,9,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0
Punjab Kings,Marcus Stoinis,True,all_rounder,62,1093,800,88,51,54,40,3,15,19,10,4,0,0,849,1302,49,275,2,68,5,10,15,2,0,0,0,16,0,3,0
Punjab Kings,Azmatullah Omarzai,True,all_rounder,29,459,336,33,22,24,20,0,5,7,4,0,0,0,498,784,28,176,0,28,0,6,8,3,1,0,0,4,0,1,0
Punjab Kings,Marco Jansen,True,all_rounder,55,475,373,30,28,35,24,2,16,6,3,0,0,0,1176,1626,71,501,2,57,3,12,21,7,4,0,0,20,0,0,2
Punjab Kings,Harpreet Brar,False,all_rounder,7,11,13,0,1,2,1,0,1,0,0,0,0,0,132,190,10,40,0,1,1,3,3,1,0,0,0,0,0,0,0
